tone	model	f0	f0_lo	f0_hi	acc	acc_lo	acc_hi
ngang	baseline	2.758779811381837	2.459654043078037	3.0869523566408246	87.53285151116953	86.71156373193168	88.3377135348226
ngang	plus_cb	2.629352085733765	2.3767657914351457	2.9382052055522414	87.54927726675426	86.72798948751642	88.38699080157687
sac	baseline	4.027612311446091	3.5178906053717425	4.608287763304803	55.02767527675276	53.57472324723247	56.526752767527675
sac	plus_cb	3.6533888537145778	3.202789710262956	4.169519730967577	54.7509225092251	53.27490774907749	56.18081180811808
huyen	baseline	3.094687145011602	2.7084292518633983	3.5542712501087586	33.88112845795672	32.40208162147356	35.44234456313339
huyen	plus_cb	2.806642850551364	2.4785411160330817	3.2179643003047005	33.935907970419066	32.40139687756779	35.44234456313339
hoi	baseline	3.858106089424572	2.938479861314152	4.926925301924571	38.014262205156335	35.8200767964893	40.153592978606696
hoi	plus_cb	3.6417478452012384	2.8081664857585142	4.7093535118808045	39.87931980252331	37.574053757542515	42.12835984640702
nga	baseline	5.821097058727569	3.9721687926998364	8.18338120742251	48.11205846528623	44.945188794153474	51.64433617539586
nga	plus_cb	3.806195040716612	2.949361217630294	4.880403638517914	48.96467722289891	45.676004872107185	52.25639464068208
nang	baseline	4.201610933253398	3.5361913259492406	4.966330857753797	44.37671441633648	42.5784821700701	46.08427308747333
nang	plus_cb	4.495368445021991	3.77367570782687	5.308618524640142	44.92532764401097	43.18805242304175	46.60164583968302
