metric	comparison	n	mean_target	mean_ref	delta	p_raw	effect_rank_biserial	p_holm
f0_rmse	plus_c vs baseline	17459	3.225261362850106	3.4673544803253336	-0.2420931174752277	4.958421773854855e-05	-0.03549511330109599	9.91684354770971e-05
f0_rmse	plus_cb vs baseline	17441	3.2167794426925065	3.44704621317585	-0.23026677048334387	1.1085219735896343e-06	-0.04263323536170371	3.3255659207689026e-06
f0_rmse	plus_cba vs baseline	17418	3.2601234961534047	3.404788508095074	-0.14466501194166959	0.7185034233046963	-0.0031562398230410666	0.7185034233046963
f0_rmse	plus_cb vs vocos_pretrained_en	17369	3.17368327583626	3.568287029477805	-0.3946037536415454	2.0916686089406878e-98	-0.18463027295044337	1.0458343044703439e-97
f0_rmse	baseline vs vocos_pretrained_en	17374	3.40839647743755	3.516668745769541	-0.10827226833199033	6.36135019547321e-66	-0.15037389548473204	2.544540078189284e-65
f0_rmse	plus_cb vs bigvgan_v2	17472	3.2723412294528393	2.2765239112866302	0.9958173181662087	0.0	0.40404617458180575	0.0
f0_rmse	baseline vs bigvgan_v2	17468	3.4870461244561484	2.262603536581177	1.2244425878749714	0.0	0.43353057617165847	0.0
f0_corr	plus_c vs baseline	17411	0.9354056148986274	0.935566644649934	-0.0001610297513066453	0.0036474207087715247	0.02545688494201672	0.007345459983246131
f0_corr	plus_cb vs baseline	17398	0.9361749069433268	0.9360741954247614	0.00010071151856535182	0.0024484866610820434	0.026538640013455267	0.007345459983246131
f0_corr	plus_cba vs baseline	17372	0.9352629981579553	0.9359954347801059	-0.0007324366221505874	0.7982574358232468	-0.0022404832410353953	0.7982574358232468
f0_corr	plus_cb vs vocos_pretrained_en	17330	0.9367524919792268	0.9272003149451816	0.009552177034045008	1.181407549453818e-59	0.1429499343553128	5.907037747269091e-59
f0_corr	baseline vs vocos_pretrained_en	17333	0.9360085992038308	0.9273402750822132	0.008668324121617724	3.5624678999942897e-45	0.12376843624316913	1.4249871599977159e-44
f0_corr	plus_cb vs bigvgan_v2	17431	0.935868685674947	0.9645327554357179	-0.02866406976077104	0.0	-0.4450583460444412	0.0
f0_corr	baseline vs bigvgan_v2	17422	0.9356522386063597	0.9644227615084376	-0.028770522902077832	0.0	-0.4616102337742451	0.0
vuv_error	plus_c vs baseline	20000	0.06401828010000002	0.06422563695	-0.0002073568499999996	0.36541887074176893	-0.012039488668841927	0.7308377414835379
vuv_error	plus_cb vs baseline	20000	0.0625697992	0.06422563695	-0.0016558377500000003	0.11927168624645251	-0.020791592092076545	0.35781505873935754
vuv_error	plus_cba vs baseline	20000	0.0633333451	0.06422563695	-0.00089229185	0.3699739224044788	-0.01178485623967099	0.7308377414835379
vuv_error	plus_cb vs vocos_pretrained_en	20000	0.0625697992	0.06871502944999999	-0.0061452302500000005	5.869948996501081e-15	-0.09932129648950709	2.9349744982505404e-14
vuv_error	baseline vs vocos_pretrained_en	20000	0.06422563695	0.06871502944999999	-0.0044893925	1.4429679138197704e-10	-0.08190183116067205	5.771871655279082e-10
vuv_error	plus_cb vs bigvgan_v2	20000	0.0625697992	0.034697426100000005	0.0278723731	4.04867544103531e-296	0.4805697870678851	2.429205264621186e-295
vuv_error	baseline vs bigvgan_v2	20000	0.06422563695	0.034697426100000005	0.02952821085	0.0	0.49081301185385956	0.0
tone_accuracy	plus_c vs baseline	20000	0.57485	0.5748	4.999999999999449e-05	1.0		1.0
tone_accuracy	plus_cb vs baseline	20000	0.5773	0.5748	0.0025000000000000577	0.29129073913673004		0.87387221741019
tone_accuracy	plus_cba vs baseline	20000	0.57365	0.5748	-0.0011499999999999844	0.6365090454568827		1.0
tone_accuracy	plus_cb vs vocos_pretrained_en	20000	0.5773	0.5706	0.006700000000000039	0.005155680307128724		0.03093408184277234
tone_accuracy	baseline vs vocos_pretrained_en	20000	0.5748	0.5706	0.0041999999999999815	0.07986232494389899		0.31944929977559594
tone_accuracy	plus_cb vs bigvgan_v2	20000	0.5773	0.5831	-0.005799999999999916	0.01486261504270519		0.07431307521352595
tone_accuracy	baseline vs bigvgan_v2	20000	0.5748	0.5831	-0.008299999999999974	0.000593930607312117		0.00415751425118482
