file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
00123557_v056_d803e2519b.flac	baseline	3.8297	3.5918	3.7051	0.9498	2.136	3.68
00123557_v056_d803e2519b.flac	plus_c	3.8297	3.7398	3.5699	0.9423	2.1489	3.68
00123557_v056_d803e2519b.flac	plus_cb	3.8297	3.7509	3.7721	0.9489	2.0772	3.68
00123557_v056_d803e2519b.flac	plus_cba	3.8297	3.4996	3.4697	0.9323	2.0607	3.68
00123557_v056_d803e2519b.flac	vocos_pretrained_en	3.8297	3.4219	3.4702	0.9329	2.4586	3.68
00123557_v056_d803e2519b.flac	bigvgan_v2	3.8297	3.8638	4.4077	0.9939	2.0444	3.68
00714726_v018_bbc445fa0c.flac	baseline	2.4594	2.1719	3.3409	0.9603	2.9228	9.76
00714726_v018_bbc445fa0c.flac	plus_c	2.4594	2.1587	3.347	0.9625	2.989	9.76
00714726_v018_bbc445fa0c.flac	plus_cb	2.4594	2.1126	3.4472	0.9623	3.1225	9.76
00714726_v018_bbc445fa0c.flac	plus_cba	2.4594	2.0595	2.9329	0.9565	2.9701	9.76
00714726_v018_bbc445fa0c.flac	vocos_pretrained_en	2.4594	2.1266	3.2445	0.9573	3.1427	9.76
00714726_v018_bbc445fa0c.flac	bigvgan_v2	2.4594	2.4868	4.3383	0.993	2.7336	9.76
01194423_v032_add9191bdd.flac	baseline	2.6641	2.9575	2.6441	0.9422	2.9924	4.0
01194423_v032_add9191bdd.flac	plus_c	2.6641	2.9448	2.8641	0.9451	2.7233	4.0
01194423_v032_add9191bdd.flac	plus_cb	2.6641	2.8693	2.8309	0.9493	3.119	4.0
01194423_v032_add9191bdd.flac	plus_cba	2.6641	2.8302	2.6387	0.9403	2.8784	4.0
01194423_v032_add9191bdd.flac	vocos_pretrained_en	2.6641	2.706	2.6224	0.9296	3.7862	4.0
01194423_v032_add9191bdd.flac	bigvgan_v2	2.6641	2.8901	4.3212	0.9888	4.1391	4.0
01429415_v014_626f8b8bd4.flac	baseline	2.4028	2.2085	2.578	0.9597	2.7203	6.72
01429415_v014_626f8b8bd4.flac	plus_c	2.4028	2.0395	2.7436	0.9578	2.7976	6.72
01429415_v014_626f8b8bd4.flac	plus_cb	2.4028	2.2151	2.8619	0.9552	2.7638	6.72
01429415_v014_626f8b8bd4.flac	plus_cba	2.4028	2.0359	2.6465	0.9461	2.8378	6.72
01429415_v014_626f8b8bd4.flac	vocos_pretrained_en	2.4028	2.1712	2.9192	0.9557	2.9299	6.72
01429415_v014_626f8b8bd4.flac	bigvgan_v2	2.4028	2.2083	3.7154	0.9793	2.5966	6.72
00509948_v066_437f06687d.flac	baseline	2.4569	2.0382	3.5251	0.9695	2.4606	10.88
00509948_v066_437f06687d.flac	plus_c	2.4569	2.1159	3.4979	0.9684	2.5609	10.88
00509948_v066_437f06687d.flac	plus_cb	2.4569	2.1598	3.436	0.9663	2.5704	10.88
00509948_v066_437f06687d.flac	plus_cba	2.4569	1.837	3.5512	0.9651	2.5784	10.88
00509948_v066_437f06687d.flac	vocos_pretrained_en	2.4569	2.1056	3.4641	0.9593	2.7738	10.88
00509948_v066_437f06687d.flac	bigvgan_v2	2.4569	2.4302	4.4491	0.996	2.331	10.88
01974468_v007_f74feb5380.flac	baseline	2.9391	2.6682	4.0911	0.9754	3.2655	3.04
01974468_v007_f74feb5380.flac	plus_c	2.9391	2.6111	3.9525	0.9641	3.3393	3.04
